Total Profit,Avg Trade,Max Drawdown,Total Trades,Win Rate
$577.00,$155.4,$81.50,6,40.00%
$1275.50,$182.21,$6.5,6,71.43%
-$288.5,-$41.21,$6.5,6,42.86%
-$519,-$74.14,$63,6,28.57%
